_id,writer,content,suefull,date,rating
67a325f30a6b3aea366718ea,Dk 7446,"일단 앱을 깔았는데 관리자에게 문의를 하라면서 무한로딩만 계속됩니다. 패드에서는 잘되는데 왜 폰에서만 이럴까요. 사용자체가 불가능해서 많은 불편함을 겪고있으니, 최대한 빠른 개선 바랍니다. 폰 기종은 a21s입니다. +수정 후에는 잘 쓰고 있습니다. 다만 하나 추가되었으면 하는 것이 있는데 앱 가로비율이 나왔으면 좋겠습니다. 패드에서 볼때마다 불편하더라구요",3,2022년 11월 4일,5
67a325f30a6b3aea366718eb,ᄋᄋ,이건 좀 심한거 아닌가요? 로딩 한참 걸리더니 로그아웃 처리되고 로그인 하니까 아예 영어로 된 코드가 떠버리질 않나 접속이 안되네요 쓰라고 만든건지 의문이 듭니다,0,2024년 12월 7일,1
67a325f30a6b3aea366718ec,K C,독서실 이용을 하려서 알아보던중 주변 지인의 추천으로 앱 깔아서 사용해 봤는데 편리하네요,0,2024년 9월 25일,5
67a325f30a6b3aea366718ed,been,회원가입을 해야 뭘 쓰든 말든 하는데 정보 다 입력하고 남자 여자 선택하는 창에서 선택하고 다음 버튼 눌렀더니 아무 일도 안 일어나고 그냥 그 창에서 계속 멈춰있어요. 버튼이 안 눌린다는 말입니다. 이래서 뭘 볼 수도 없고 하.. 답답하네요 업데이트된 날짜도 얼마 안 됐더만 왜 이런 오류가 있는 거죠? 다른 사람 핸드폰으로 가입해보려고 해도 성별 선택 창에서 죽어도 안 넘어갑니다. 빨리 피드백 부탁드립니다.,2,2022년 4월 2일,1
67a325f30a6b3aea366718ee,Kim Js,"와우플 업데이트후 거리순이 없어서 불편함. 그리고 초기화면에 나오는 숫자는 이용가능 석이고, 어플실행후 나오는 숫자는 현재이용 좌석이라 통일성이 없음.. 이용현황 (20/40) 또는 잔여좌석 (20/40) 이런식으로 바뀌어야 할듯",1,2024년 6월 26일,3
67a325f40a6b3aea366718ef,진.,키오스크 비밀번호에서 안넘어가요;; 4자리밖에 입력 안되는데 자꾸 8자 이상 쓰라면서 스킵도 안됩니다. 폰업데이트 안해서 그런거라해서 업데이트도 했는데 안돼요;;;,0,2022년 11월 10일,1
67a325f40a6b3aea366718f0,bara,이전 인터페이스가 진짜 훨씬 편했는데... 수정) 앗 바로 수정해주셨네요. 감사합니다!,1,2024년 7월 6일,5
67a325f40a6b3aea366718f1,성ha,1.로딩 매우 길고 2.결제는 계속 오류나고 시스템 관리자에게 문의하라고 해서 3.어플 보니 상담 전화번호나 1:1 상담 기능 없고 진짜 깔지 마세요. 30분 동안 시도하다 속 터져 죽을 뻔,2,2023년 10월 4일,1
67a325f40a6b3aea366718f2,ᄀᄌᄒ,키오스크에서 결제하지 않고 미리 앱사용해서 결제했는데 좋더라구요 카카오톡으로 큐알코드 와서 편하게 입실했어요 가까운 스터디카페가 어딘지도 확인되서 좋더라구요~,1,2024년 3월 25일,5
67a325f40a6b3aea366718f3,Soong,"집근처에 있는 스터디카페가 있어서 사용하려는데, 스터디카페 이용 APP들 중에 가장 깔끔하게 잘 만드셨네요!~ 잘 쓸게요!",2,2021년 4월 9일,5
